Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
206,20,85,1097,True,3.6,0,11/9/2024 12:20:39 PM,False,0,1,93,68.7,6394,,3.4,31,11/9/2024 2:07:08 PM,False,0,1,20D370D2,93,2,14,GF,20/85,1019,1019,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
2270,67.4,0,2,0.96,0.32,0,0,27,1,0,71,True,True,0,0,0,0,199,3.48,2516,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2280,67.3,0,2,0.96,0.32,0,0,28,1,0,71,True,True,0,0,0,0,200,3.48,2512,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2290,67.1,0,2,0.96,0.32,0,0,27,1,0,71,True,True,0,0,0,0,199,3.48,2508,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2300,66.7,0,2,0.95,0.32,0,0,26,1,0,71,True,True,0,0,0,0,200,3.48,2502,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2310,65.9,0,2,0.94,0.32,0,0,29,1,0,71,True,True,0,0,0,0,199,3.48,2500,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2320,65.4,0,2,0.94,0.32,0,0,29,1,0,71,True,True,0,0,0,0,199,3.48,2492,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2330,64.5,0,2,0.93,0.32,0,0,29,1,0,71,True,True,0,0,0,0,200,3.48,2490,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2340,64.4,0,2,0.93,0.32,0,0,31,1,0,71,True,True,0,0,0,0,200,3.48,2482,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2350,63.6,0,2,0.92,0.32,0,0,32,1,0,71,True,True,0,0,0,0,199,3.48,2480,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2360,63,0,2,0.92,0.32,0,0,32,1,0,71,True,True,0,0,0,0,200,3.48,2476,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2370,62.9,0,2,0.92,0.32,0,0,33,1,0,71,True,True,0,0,0,0,200,3.48,2472,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2380,63.7,0,2,0.92,0.32,0,0,32,1,0,71,True,True,0,0,0,0,199,3.48,2472,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2390,63.1,0,2,0.92,0.32,0,0,32,1,0,71,True,True,0,0,0,0,199,3.48,2462,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2400,63.8,0,2,0.92,0.32,0,0,31,1,0,71,True,True,0,0,0,0,199,3.48,2460,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2410,64.6,0,2,0.93,0.32,0,0,31,1,0,71,True,True,0,0,0,0,199,3.48,2454,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2420,64.8,0,2,0.93,0.32,0,0,29,1,0,71,True,True,0,0,0,0,199,3.48,2448,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2430,64.9,0,2,0.93,0.32,0,0,29,1,0,71,True,True,0,0,0,0,199,3.48,2442,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2440,66,0,2,0.94,0.32,0,0,27,1,0,71,True,True,0,0,0,0,199,3.48,2436,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2450,66.4,0,2,0.95,0.32,0,0,25,1,0,71,True,True,0,0,0,0,199,3.48,2432,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2460,66.1,0,2,0.95,0.32,0,0,26,1,0,71,True,True,0,0,0,0,199,3.48,2424,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2470,67.1,0,2,0.95,0.32,0,0,26,1,0,71,True,True,0,0,0,0,199,3.48,2416,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2480,67.6,0,2,0.96,0.32,0,0,24,1,0,71,True,True,0,0,0,0,199,3.48,2414,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2490,67.5,0,3,0.96,0.32,0,0,23,1,0,71,True,True,0,0,0,0,199,3.48,2408,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2500,67.2,0,2,0.96,0.32,0,0,24,1,0,71,True,True,0,0,0,0,199,3.48,2402,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2510,66.9,0,2,0.95,0.32,0,0,24,1,0,71,True,True,0,0,0,0,199,3.48,2400,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2520,66.8,0,2,0.95,0.32,0,0,24,1,0,71,True,True,0,0,0,0,199,3.47,2392,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2530,67.8,0,2,0.96,0.32,0,0,23,1,0,71,True,True,0,0,0,0,199,3.48,2392,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2540,68.1,0,3,0.96,0.32,0,0,22,1,0,71,True,True,0,0,0,0,199,3.48,2384,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2550,67.3,0,3,0.96,0.32,0,0,22,1,0,71,True,True,0,0,0,0,199,3.47,2382,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2560,65.9,0,2,0.94,0.32,0,0,25,1,0,71,True,True,0,0,0,0,199,3.48,2374,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2570,65.5,0,2,0.94,0.32,0,0,25,1,0,71,True,True,0,0,0,0,199,3.48,2370,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2580,65,0,2,0.94,0.32,0,0,26,1,0,71,True,True,0,0,0,0,199,3.48,2370,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2590,62.7,0,2,0.92,0.32,0,0,28,1,0,71,True,True,0,0,0,0,199,3.48,2364,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2600,59.4,0,2,0.89,0.32,0,0,34,1,0,71,True,True,0,0,0,0,199,3.48,2356,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2610,59,0,2,0.88,0.32,0,0,36,1,0,71,True,True,0,0,0,0,199,3.48,2354,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2620,59.2,0,2,0.88,0.32,0,0,35,1,0,71,True,True,0,0,0,0,199,3.48,2350,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2630,57.7,0,2,0.87,0.32,0,0,35,1,0,71,True,True,0,0,0,0,199,3.48,2344,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2640,54.5,0,2,0.84,0.32,0,0,46,1,0,71,True,True,0,0,0,0,199,3.48,2340,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2650,54.8,0,2,0.84,0.32,0,0,49,1,0,71,True,True,0,0,0,0,199,3.48,2338,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2660,54.9,0,2,0.84,0.32,0,0,47,1,0,71,True,True,0,0,0,0,199,3.48,2334,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2670,58.1,0,2,0.87,0.32,0,0,40,1,0,71,True,True,0,0,0,0,199,3.48,2328,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2680,58.8,0,2,0.88,0.32,0,0,35,1,0,71,True,True,0,0,0,0,199,3.47,2324,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2690,61.4,0,2,0.9,0.32,0,0,31,1,0,71,True,True,0,0,0,0,199,3.48,2320,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2700,61.3,0,2,0.9,0.32,0,0,30,1,0,71,True,True,0,0,0,0,199,3.48,2314,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2710,61.6,0,2,0.9,0.32,0,0,29,1,0,71,True,True,0,0,0,0,199,3.48,2314,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2720,62.9,0,2,0.92,0.32,0,0,27,1,0,71,True,True,0,0,0,0,199,3.47,2308,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2730,63.1,0,2,0.92,0.32,0,0,27,1,0,71,True,True,0,0,0,0,199,3.48,2306,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2740,63.9,0,2,0.93,0.32,0,0,26,1,0,71,True,True,0,0,0,0,199,3.48,2300,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2750,65.2,0,2,0.94,0.32,0,0,25,1,0,71,True,True,0,0,0,0,199,3.48,2292,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2760,65.6,0,2,0.94,0.32,0,0,23,1,0,71,True,True,0,0,0,0,199,3.48,2290,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2770,64.9,0,2,0.94,0.32,0,0,23,1,0,71,True,True,0,0,0,0,200,3.48,2286,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2780,65.4,0,2,0.94,0.32,0,0,23,1,0,71,True,True,0,0,0,0,199,3.48,2282,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2790,65.6,0,2,0.94,0.32,0,0,22,1,0,71,True,True,0,0,0,0,200,3.48,2276,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2800,65.4,0,2,0.94,0.32,0,0,22,1,0,71,True,True,0,0,0,0,200,3.48,2268,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2810,66.5,0,2,0.95,0.32,0,0,20,1,0,71,True,True,0,0,0,0,199,3.48,2264,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2820,65.6,0,2,0.94,0.32,0,0,20,1,0,71,True,True,0,0,0,0,200,3.48,2260,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2830,66.8,0,2,0.95,0.32,0,0,20,1,0,71,True,True,0,0,0,0,199,3.48,2254,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2840,66.3,0,2,0.95,0.32,0,0,20,1,0,71,True,True,0,0,0,0,199,3.48,2248,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2850,65.1,0,2,0.94,0.32,0,0,20,1,0,71,True,True,0,0,0,0,199,3.48,2240,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2860,63.8,0,2,0.93,0.32,0,0,23,1,0,71,True,True,0,0,0,0,199,3.48,2240,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2870,63,0,2,0.91,0.32,0,0,25,1,0,71,True,True,0,0,0,0,199,3.48,2232,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2880,66.1,0,2,0.94,0.32,0,0,20,1,0,71,True,True,0,0,0,0,199,3.48,2230,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2890,63.4,0,2,0.92,0.32,0,0,23,1,0,71,True,True,0,0,0,0,199,3.48,2224,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2900,65.3,0,2,0.94,0.32,0,0,21,1,0,71,True,True,0,0,0,0,199,3.48,2222,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2910,64.5,0,2,0.93,0.32,0,0,22,1,0,71,True,True,0,0,0,0,199,3.48,2218,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2920,62.3,0,2,0.91,0.32,0,0,22,1,0,71,True,True,0,0,0,0,199,3.48,2212,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2930,61,0,2,0.9,0.32,0,0,25,1,0,71,True,True,0,0,0,0,199,3.48,2206,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2940,59.4,0,2,0.88,0.32,0,0,26,1,0,71,True,True,0,0,0,0,199,3.48,2200,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2950,58.5,0,2,0.87,0.32,0,0,29,1,0,71,True,True,0,0,0,0,199,3.48,2194,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2960,53.4,0,2,0.83,0.32,0,0,39,1,0,71,True,True,0,0,0,0,199,3.48,2190,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2970,54.8,0,2,0.84,0.32,0,0,40,1,0,71,True,True,0,0,0,0,199,3.47,2190,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2980,53,0,2,0.83,0.32,0,0,40,1,0,71,True,True,0,0,0,0,199,3.48,2186,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
2990,55.3,0,2,0.84,0.32,0,0,40,1,0,71,True,True,0,0,0,0,199,3.48,2184,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3000,58.2,0,2,0.87,0.32,0,0,31,1,0,71,True,True,0,0,0,0,199,3.48,2174,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3010,60.5,0,2,0.89,0.32,0,0,28,1,0,71,True,True,0,0,0,0,199,3.48,2168,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3020,60.2,0,2,0.89,0.32,0,0,26,1,0,71,True,True,0,0,0,0,199,3.48,2162,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3030,59.5,0,2,0.88,0.32,0,0,27,1,0,71,True,True,0,0,0,0,199,3.48,2158,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3040,58.8,0,2,0.88,0.32,0,0,27,1,0,71,True,True,0,0,0,0,199,3.48,2152,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3050,59.6,0,2,0.89,0.32,0,0,26,1,0,71,True,True,0,0,0,0,199,3.48,2146,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3060,58,0,2,0.87,0.32,0,0,29,1,0,71,True,True,0,0,0,0,199,3.48,2144,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3070,56.2,0,2,0.85,0.32,0,0,31,1,0,71,True,True,0,0,0,0,199,3.48,2142,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3080,58.1,0,2,0.87,0.32,0,0,30,1,0,71,True,True,0,0,0,0,199,3.48,2132,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3090,58.6,0,2,0.88,0.32,0,0,27,1,0,71,True,True,0,0,0,0,199,3.48,2128,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3100,58.9,0,2,0.88,0.32,0,0,27,1,0,71,True,True,0,0,0,0,199,3.47,2128,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3110,60.5,0,2,0.89,0.32,0,0,25,1,0,71,True,True,0,0,0,0,200,3.48,2122,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3120,58.9,0,2,0.88,0.32,0,0,25,1,0,71,True,True,0,0,0,0,199,3.48,2118,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3130,60.1,0,2,0.89,0.32,0,0,24,1,0,71,True,True,0,0,0,0,199,3.48,2116,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3140,59.6,0,2,0.88,0.32,0,0,25,1,0,71,True,True,0,0,0,0,200,3.48,2110,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3150,59.8,0,2,0.89,0.32,0,0,25,1,0,71,True,True,0,0,0,0,199,3.48,2106,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3160,60,0,2,0.89,0.32,0,0,25,1,0,71,True,True,0,0,0,0,199,3.48,2102,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3170,63.2,0,2,0.92,0.32,0,0,22,1,0,71,True,True,0,0,0,0,199,3.48,2094,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3180,64.6,0,2,0.93,0.32,0,0,18,1,0,71,True,True,0,0,0,0,199,3.48,2096,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3190,66.3,0,2,0.95,0.32,0,0,18,1,0,71,True,True,0,0,0,0,200,3.48,2092,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3200,67,0,2,0.95,0.32,0,0,15,1,0,71,True,True,0,0,0,0,199,3.48,2088,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3210,66.5,0,2,0.95,0.32,0,0,15,1,0,71,True,True,0,0,0,0,200,3.47,2088,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3220,67.6,0,2,0.96,0.32,0,0,15,1,0,71,True,True,0,0,0,0,200,3.48,2078,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3230,67.4,0,3,0.96,0.32,0,0,14,1,0,71,True,True,0,0,0,0,199,3.48,2076,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3240,67.2,0,2,0.96,0.32,0,0,14,1,0,71,True,True,0,0,0,0,200,3.48,2070,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3250,67.8,0,2,0.96,0.32,0,0,14,1,0,71,True,True,0,0,0,0,199,3.48,2066,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3260,67.4,0,2,0.96,0.32,0,0,14,1,0,71,True,True,0,0,0,0,199,3.48,2062,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3270,67.1,0,2,0.96,0.32,0,0,14,1,0,71,True,True,0,0,0,0,200,3.48,2058,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3280,66.7,0,2,0.95,0.32,0,0,14,1,0,71,True,True,0,0,0,0,199,3.48,2054,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3290,66.5,0,2,0.95,0.32,0,0,14,1,0,71,True,True,0,0,0,0,199,3.48,2052,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3300,65.6,0,2,0.94,0.32,0,0,14,1,0,71,True,True,0,0,0,0,199,3.48,2048,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3310,65.4,0,2,0.94,0.32,0,0,15,1,0,71,True,True,0,0,0,0,199,3.48,2046,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3320,64.6,0,2,0.93,0.32,0,0,15,1,0,71,True,True,0,0,0,0,199,3.48,2044,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3330,64.4,0,2,0.93,0.32,0,0,15,1,0,71,True,True,0,0,0,0,199,3.48,2038,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3340,61.9,0,2,0.91,0.32,0,0,18,1,0,71,True,True,0,0,0,0,199,3.47,2032,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3350,61.6,0,2,0.9,0.32,0,0,18,1,0,71,True,True,0,0,0,0,199,3.48,2030,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3360,61.6,0,2,0.9,0.32,0,0,18,1,0,71,True,True,0,0,0,0,199,3.48,2026,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3370,59.9,0,2,0.89,0.32,0,0,19,1,0,71,True,True,0,0,0,0,199,3.48,2022,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3380,58.5,0,2,0.87,0.32,0,0,20,1,0,71,True,True,0,0,0,0,199,3.48,2016,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3390,60.7,0,2,0.89,0.32,0,0,18,1,0,71,True,True,0,0,0,0,199,3.48,2010,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3400,61.8,0,2,0.91,0.32,0,0,18,1,0,71,True,True,0,0,0,0,199,3.48,2002,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3410,62.1,0,2,0.91,0.32,0,0,16,1,0,71,True,True,0,0,0,0,199,3.48,1996,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3420,63.3,0,2,0.92,0.32,0,0,16,1,0,71,True,True,0,0,0,0,199,3.48,1990,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3430,62.6,0,2,0.92,0.32,0,0,15,1,0,71,True,True,0,0,0,0,199,3.48,1986,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3440,60.8,0,2,0.9,0.32,0,0,17,1,0,71,True,True,0,0,0,0,199,3.48,1982,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3450,59.6,0,2,0.89,0.32,0,0,17,1,0,71,True,True,0,0,0,0,199,3.48,1974,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3460,58.2,0,2,0.87,0.32,0,0,20,1,0,71,True,True,0,0,0,0,199,3.48,1964,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3470,59.2,0,2,0.88,0.32,0,0,19,1,0,71,True,True,0,0,0,0,199,3.48,1958,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3480,59,0,2,0.88,0.32,0,0,19,1,0,71,True,True,0,0,0,0,199,3.48,1946,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3490,59.4,0,2,0.88,0.32,0,0,19,1,0,71,True,True,0,0,0,0,199,3.48,1946,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3500,59.9,0,2,0.89,0.32,0,0,18,1,0,71,True,True,0,0,0,0,199,3.48,1936,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3510,60,0,2,0.89,0.32,0,0,17,1,0,71,True,True,0,0,0,0,199,3.48,1928,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3520,59.9,0,2,0.89,0.32,0,0,17,1,0,71,True,True,0,0,0,0,199,3.48,1928,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3530,59.8,0,2,0.89,0.32,0,0,17,1,0,71,True,True,0,0,0,0,199,3.48,1916,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3540,59,0,2,0.88,0.32,0,0,18,1,0,71,True,True,0,0,0,0,199,3.48,1912,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3550,57.7,0,2,0.87,0.32,0,0,20,1,0,71,True,True,0,0,0,0,199,3.48,1910,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3560,57.4,0,2,0.86,0.32,0,0,20,1,0,71,True,True,0,0,0,0,199,3.48,1910,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3570,57.7,0,2,0.87,0.32,0,0,19,1,0,71,True,True,0,0,0,0,199,3.47,1902,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3580,59.9,0,2,0.89,0.32,0,0,17,1,0,71,True,True,0,0,0,0,199,3.48,1896,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3590,61.1,0,2,0.9,0.32,0,0,15,1,0,71,True,True,0,0,0,0,199,3.48,1890,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3600,63.6,0,2,0.92,0.32,0,0,13,1,0,71,True,True,0,0,0,0,199,3.48,1888,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3610,64.1,0,2,0.93,0.32,0,0,12,1,0,71,True,True,0,0,0,0,200,3.48,1882,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3620,65.5,0,2,0.94,0.32,0,0,11,1,0,71,True,True,0,0,0,0,199,3.48,1878,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3630,67,0,2,0.95,0.32,0,0,11,1,0,71,True,True,0,0,0,0,199,3.47,1876,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3640,68.7,0,2,0.97,0.32,0,0,9,1,0,71,True,True,0,0,0,0,200,3.48,1866,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3650,67.7,0,2,0.96,0.32,0,0,9,1,0,71,True,True,0,0,0,0,199,3.48,1866,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3660,66.8,0,2,0.95,0.32,0,0,9,1,0,71,True,True,0,0,0,0,199,3.48,1864,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3670,67.2,0,2,0.96,0.32,0,0,9,1,0,71,True,True,0,0,0,0,200,3.48,1860,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3680,66.8,0,2,0.95,0.32,0,0,9,1,0,71,True,True,0,0,0,0,200,3.48,1852,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3690,67.3,0,2,0.96,0.32,0,0,9,1,0,71,True,True,0,0,0,0,199,3.48,1846,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3700,67.9,0,2,0.96,0.32,0,0,8,1,0,71,True,True,0,0,0,0,199,3.48,1848,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3710,67.2,0,2,0.96,0.32,0,0,8,1,0,71,True,True,0,0,0,0,199,3.47,1840,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3720,66.9,0,2,0.95,0.32,0,0,8,1,0,71,True,True,0,0,0,0,199,3.48,1838,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3730,67.1,0,2,0.96,0.32,0,0,8,1,0,71,True,True,0,0,0,0,199,3.48,1834,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3740,67.4,0,2,0.96,0.32,0,0,8,1,0,71,True,True,0,0,0,0,199,3.48,1826,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3750,67.3,0,2,0.96,0.32,0,0,8,1,0,71,True,True,0,0,0,0,199,3.48,1822,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3760,67.1,0,2,0.96,0.32,0,0,8,1,0,71,True,True,0,0,0,0,199,3.48,1814,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3770,67.1,0,2,0.96,0.32,0,0,7,1,0,71,True,True,0,0,0,0,199,3.48,1808,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3780,65.7,0,2,0.94,0.32,0,0,7,1,0,71,True,True,0,0,0,0,199,3.48,1808,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3790,66.2,0,2,0.95,0.32,0,0,8,1,0,71,True,True,0,0,0,0,199,3.48,1802,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3800,65,0,2,0.94,0.32,0,0,8,1,0,71,True,True,0,0,0,0,199,3.48,1798,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3810,62.7,0,2,0.92,0.32,0,0,8,1,0,71,True,True,0,0,0,0,199,3.48,1790,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3820,58.4,0,2,0.87,0.32,0,0,11,1,0,71,True,True,0,0,0,0,199,3.48,1792,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
3830,59.2,0,2,0.88,0.32,0,0,11,1,0,71,True,True,0,0,0,0,199,3.48,1784,AI is off,N/A,N/A,N/A,GTR and SAC are off,0,0,0
