#timestamp tx ty tz qx qy qz qw
1731151714.163635333 0.000915968 -0.023634685 0.006037454 -0.003719411 -0.600110359 0.799847374 -0.009894560
1731151714.197002000 0.005336110 -0.017361435 0.029072760 -0.002598749 -0.599641458 0.800159798 -0.012948594
1731151714.230368666 0.002851944 -0.013449790 0.023449002 0.000209330 -0.597875855 0.801467060 -0.013963173
1731151714.263735333 0.003971916 -0.009397836 0.026009165 0.000623036 -0.596549782 0.802405238 -0.016547026
1731151715.431568666 0.005552429 -0.001366670 0.033798064 0.008352120 -0.613060593 0.789851176 0.014902056
1731151715.565035333 0.001556001 -0.015577697 0.015512627 0.005198322 -0.628613392 0.777494117 0.017918687
1731151715.731868666 0.003416280 0.021691589 0.024658048 0.002388047 -0.648086421 0.761199750 0.023520815
1731151716.65535333 0.002895660 -0.011788768 0.017901194 -0.004439056 -0.675362596 0.736578344 0.036304294
1731151716.299102000 0.008572628 -0.023856088 0.010735602 -0.008921805 -0.685601515 0.726789355 0.040597991
1731151718.100902000 -0.041365918 -0.002110655 -0.061350623 0.017506930 0.717791948 -0.693437399 -0.060106572
1731151719.702502000 -0.064891727 0.018139300 -0.057529325 -0.028748758 -0.632328565 0.769269245 0.086942070
1731151720.36168666 -0.081244003 0.011052083 -0.033800450 -0.033100759 -0.604151048 0.791035859 0.090377660
1731151721.70535333 -0.057562560 -0.042611294 -0.026175461 -0.201472368 -0.580384868 0.788130285 -0.037589159
1731151721.437568666 -0.050838282 -0.043284581 -0.044849876 -0.275861462 -0.559308585 0.778999447 -0.065070899
1731151721.837968666 -0.046136555 -0.047815620 -0.043948558 -0.230640813 -0.592671574 0.770797165 -0.037642408
1731151722.138268666 -0.033974527 -0.070518434 -0.064775768 -0.107127630 -0.653851549 0.748794420 0.017570952
1731151722.471935333 -0.054649427 -0.065266794 -0.096331177 0.057697882 -0.676320578 0.724970479 0.116958263
1731151722.872335333 -0.070552448 -0.060831512 -0.103422595 0.221765976 -0.650345889 0.697072335 0.204841980
1731151724.173635333 -0.052592339 -0.087164034 -0.112559417 0.035280674 -0.617840764 0.777093618 0.114689025
1731151724.507302000 -0.038912333 -0.092795246 -0.102125931 -0.131297792 -0.591493579 0.795200294 0.023510171
1731151724.640768666 -0.033135449 -0.089207352 -0.106589610 -0.190363864 -0.580800351 0.791414252 -0.009799644
1731151725.274735333 -0.019831439 -0.087029931 -0.123567574 -0.345543791 -0.563878606 0.743739322 -0.097428060
1731151726.108902000 -0.060734761 -0.102943128 -0.115540389 -0.090004444 -0.619126640 0.778604851 0.048537517
1731151726.409202000 -0.059517705 -0.090511302 -0.103275472 0.033092905 -0.640012309 0.754941195 0.139114685
1731151726.642768666 -0.052183536 -0.087691252 -0.107263626 0.114025629 -0.647372889 0.725395948 0.204223446
1731151728.244368666 -0.044714667 -0.130003503 -0.109421627 -0.176100702 -0.666506903 0.723653194 -0.032911163
1731151728.578035333 -0.039297473 -0.126944984 -0.109662164 -0.270024323 -0.655367266 0.697107758 -0.107802528
1731151728.778235333 -0.040100037 -0.127457540 -0.108676115 -0.286671536 -0.658716933 0.684357094 -0.124766985
1731151729.812602000 -0.019077971 -0.146116937 -0.119886156 -0.012348668 -0.673419673 0.730554543 0.112443386
1731151730.313102000 -0.015121288 -0.140458389 -0.128836509 0.009865952 -0.643984470 0.763029130 0.054527174
1731151730.479935333 -0.012432608 -0.119419403 -0.123686354 0.047077695 -0.650943280 0.757560903 -0.012570403
1731151730.880335333 -0.006841116 -0.070493485 -0.111312563 0.141886493 -0.672542566 0.703402414 -0.181051826
1731151731.414202000 -0.023172986 -0.071474634 -0.100396992 0.143921019 -0.636901581 0.744267952 -0.140386366
1731151731.547668666 -0.024970269 -0.080625857 -0.108255996 0.106043512 -0.629301723 0.767012929 -0.066522789
1731151731.747868666 -0.018876735 -0.106637072 -0.111593249 0.032003978 -0.614814477 0.785770313 0.059530833
1731151731.948068666 -0.000183551 -0.115859272 -0.117117563 -0.048125556 -0.605369260 0.776229066 0.169352965
1731151732.248368666 0.025329427 -0.112178522 -0.103293133 -0.139969775 -0.614504227 0.721918624 0.285703548
1731151732.882335333 0.005015914 -0.144070213 -0.090824993 -0.076251436 -0.549577289 0.796080924 0.241672681
1731151733.15802000 0.000041369 -0.145030536 -0.087441724 -0.036882201 -0.559744558 0.810151873 0.170234181
1731151733.216002000 -0.009795304 -0.135708799 -0.079367889 0.024153612 -0.583679110 0.810548488 0.041790516
1731151733.482935333 -0.020063622 -0.108601255 -0.065607992 0.079484779 -0.608786004 0.782191990 -0.106006896
1731151733.849968666 -0.025556711 -0.079765154 -0.062922002 0.120681698 -0.616537930 0.746074934 -0.220656070
1731151734.217002000 -0.016504188 -0.076983442 -0.055826615 0.122912301 -0.581585151 0.769425011 -0.233744370
1731151734.650768666 0.005120342 -0.114258789 -0.064416440 0.042845486 -0.544918375 0.833642272 -0.079175695
1731151734.951068666 -0.000118627 -0.140864875 -0.069924871 -0.016566596 -0.521790008 0.851658043 0.046252708
1731151735.251368666 -0.001558158 -0.172459060 -0.075966152 -0.078328872 -0.502955086 0.845033415 0.163765985
1731151735.518302000 -0.002801647 -0.187354354 -0.078442577 -0.141075625 -0.504804353 0.810838392 0.260406098
1731151735.851968666 -0.003177586 -0.186136365 -0.076197381 -0.210956534 -0.514245712 0.749532033 0.359514145
1731151736.152268666 -0.014967285 -0.184407360 -0.074996199 -0.227870852 -0.508945848 0.724816559 0.404586151
1731151737.53168666 -0.043630659 -0.195164854 -0.063382141 -0.122734032 -0.548208510 0.794208073 0.231597332
1731151737.386835333 -0.043415495 -0.202850893 -0.062617061 -0.066046635 -0.564946217 0.814346396 0.115384409
1731151737.587035333 -0.030583668 -0.194347453 -0.053891787 -0.029685631 -0.585794981 0.808976530 0.038986879
1731151737.820602000 -0.003939566 -0.188805382 -0.059477858 0.013506356 -0.605013148 0.794535071 -0.049906813
1731151738.221002000 0.019433206 -0.162006305 -0.045006104 0.093721942 -0.617116758 0.758534878 -0.187104098
1731151738.788235333 0.037530378 -0.169969531 -0.041487294 0.112984667 -0.579774468 0.787153949 -0.177439262
1731151739.322102000 0.035358402 -0.210025002 -0.036385123 0.040459451 -0.549358542 0.834550783 -0.009654801
1731151739.956068666 0.018346847 -0.222756656 -0.028142209 0.005800784 -0.556710581 0.829595253 0.042560501
1731151741.57168666 -0.000787399 -0.251136143 -0.047300549 -0.021170159 -0.618644561 0.784794677 0.030463871
1731151741.357468666 0.001184037 -0.234068004 -0.040777595 -0.023094112 -0.684956794 0.727479075 0.032787918
1731151741.724502000 0.000673224 -0.237784736 -0.043572705 0.027987792 0.756743671 -0.652376363 -0.030996460
1731151741.924702000 0.003261164 -0.223556189 -0.040878881 0.030132128 0.785934042 -0.616748501 -0.031953445
1731151742.24802000 0.000820815 -0.233306799 -0.040878018 0.030537995 0.799893683 -0.598445415 -0.033175479
1731151742.124902000 0.000846796 -0.233699929 -0.037434059 0.030584408 0.813344164 -0.579974026 -0.034146643
1731151742.258368666 0.002512367 -0.240584480 -0.034177931 0.030256796 0.830571225 -0.555066465 -0.033722193
1731151742.658768666 -0.005773421 -0.225597191 -0.039068666 0.036804488 0.876284270 -0.479721537 -0.025269627
1731151743.826602000 0.019584843 -0.265919047 -0.079752933 0.016919871 0.768654783 -0.638827566 -0.027980065
1731151744.126902000 0.015100341 -0.268882902 -0.096508507 -0.011402221 -0.668621225 0.742456833 0.039667342
1731151744.393835333 0.017330251 -0.276603904 -0.105756175 -0.005640420 -0.586116878 0.808700422 0.049384395
1731151744.560668666 0.007984391 -0.272141684 -0.108485095 -0.000542518 -0.544167566 0.837166471 0.055078731
1731151745.61168666 -0.005381104 -0.234178129 -0.124324181 0.008129001 -0.489523581 0.869386456 0.066841407
1731151745.561668666 0.006999968 -0.206096042 -0.100194912 -0.007442307 -0.590725205 0.804883513 0.056132643
1731151745.761868666 0.009656202 -0.199089104 -0.097433463 -0.016789232 -0.680099518 0.731497310 0.045765188
1731151745.962068666 0.019113339 -0.196385035 -0.095607350 0.027483629 0.762103412 -0.646017791 -0.033227305
1731151746.95535333 0.021016616 -0.191192652 -0.090534148 0.034034117 0.807342525 -0.588594577 -0.024416201
1731151746.295735333 0.022166808 -0.191631639 -0.095426750 0.041499365 0.858755691 -0.510498954 -0.014397362
1731151746.495935333 0.017312580 -0.192931943 -0.104581683 0.043505352 0.888273118 -0.457107653 -0.011434393
1731151747.196635333 0.005243376 -0.209754099 -0.180772761 0.021386878 0.781987147 -0.622537268 -0.022046599
1731151747.496935333 0.006707135 -0.205026190 -0.193824183 -0.011491984 -0.698420008 0.714930811 0.030844167
1731151747.863968666 0.009751281 -0.197418614 -0.196849323 0.000706452 -0.597699895 0.800708781 0.040246554
1731151748.64168666 0.012616611 -0.186181527 -0.205605408 0.007394099 -0.548374482 0.835336414 0.037997776
1731151748.364468666 0.029387316 -0.199205955 -0.220785150 0.014130028 -0.492672345 0.869139681 0.040871966
1731151750.733502000 0.034511784 -0.281981563 -0.056729163 0.064081995 -0.546114577 0.835243165 -0.004606679
1731151751.634402000 0.064646037 -0.263123788 0.063883156 0.066381823 -0.539101124 0.838548160 -0.042431300
1731151752.201635333 0.146719663 -0.237933912 0.088002186 0.059671031 -0.524127082 0.843897629 -0.097810849
1731151752.668768666 0.260848545 -0.225461748 0.070696016 0.088085605 -0.529900232 0.822889884 -0.185199645
1731151752.935702000 0.330582218 -0.213670342 0.046458978 0.109500211 -0.525042523 0.810735806 -0.234622046
1731151753.269368666 0.414748328 -0.181472362 0.013049642 0.157394002 -0.535900889 0.782396303 -0.275487550
1731151753.603035333 0.477504809 -0.154490572 0.004534030 0.205285624 -0.536178983 0.759626498 -0.305511855
1731151753.769868666 0.511864521 -0.135652968 0.007992603 0.221027463 -0.526872652 0.751374536 -0.330133875
1731151754.3435333 0.569055409 -0.092812469 0.018366262 0.234177444 -0.508084531 0.740601391 -0.372183574
1731151754.136902000 0.594296724 -0.067179911 0.024343172 0.239538652 -0.498314363 0.734610505 -0.393257466
1731151754.370468666 0.632935164 -0.019058036 0.033313612 0.248040210 -0.485357406 0.724348241 -0.422165688
1731151754.670768666 0.673399627 0.041084023 0.032088863 0.261466907 -0.468594036 0.712837730 -0.451571763
1731151755.37802000 0.721686180 0.094995571 0.008652920 0.289460274 -0.431268740 0.699668842 -0.490595083
1731151755.338102000 0.758684860 0.123503598 -0.023807367 -0.327751908 0.424894292 -0.674732462 0.506734282
1731151755.671768666 0.791605608 0.149602166 -0.044637669 0.363646746 -0.457266379 0.641090272 -0.497666320
1731151756.272368666 0.871537395 0.158420360 -0.068301685 -0.358105971 0.472188699 -0.630982502 0.500658594
1731151756.672768666 0.877995873 0.184761152 -0.080339660 -0.378214337 0.508796385 -0.581664757 0.509653082
1731151756.772868666 0.876124605 0.192322513 -0.084558572 -0.381990460 0.510593702 -0.567050598 0.521374126
1731151756.973068666 0.889769502 0.213930182 -0.102470934 -0.377896529 0.479684216 -0.543912353 0.575548971
1731151757.173268666 0.903647913 0.253466215 -0.115974317 -0.383198337 0.454306325 -0.515200418 0.617521924
1731151757.506935333 0.933802096 0.344210068 -0.136491466 -0.411100491 0.438999530 -0.488506579 0.632168586
1731151757.840602000 0.967648310 0.385845493 -0.136622571 -0.438305827 0.388573878 -0.499775592 0.638061675
1731151758.207635333 1.030289379 0.330572226 -0.093122391 -0.434099072 0.337962708 -0.543156815 0.634286905
1731151758.541302000 1.074804182 0.249265782 -0.078802600 -0.429773332 0.348497931 -0.585675979 0.592307119
1731151758.841602000 1.107285949 0.156105690 -0.093185469 -0.426726162 0.377563173 -0.618075018 0.541603273
1731151759.75168666 1.133390056 0.086877725 -0.110338379 -0.419389671 0.400819877 -0.639027211 0.505074207
1731151759.508935333 1.192242164 -0.028590396 -0.144596068 0.396228528 -0.446841809 0.672381231 -0.437308623
1731151759.976068666 1.238965300 -0.114989550 -0.178217129 0.356615526 -0.481152528 0.698156227 -0.392295162
1731151760.42802000 1.246766497 -0.136553287 -0.187891326 0.351790229 -0.483161683 0.701689395 -0.387853603
1731151760.343102000 1.256061102 -0.180506476 -0.212724438 0.321908944 -0.473431461 0.731032161 -0.371253637
1731151760.476568666 1.269991236 -0.189694789 -0.232399374 0.301146867 -0.452446980 0.750358026 -0.376251415
1731151760.876968666 1.386417140 -0.265957890 -0.224320245 0.294718193 -0.454192764 0.750678445 -0.378592119
1731151761.410835333 1.535690245 -0.377790334 -0.189359733 0.275438119 -0.478126420 0.764826684 -0.332519341
1731151762.11435333 1.651905742 -0.493348774 -0.150255774 0.237487288 -0.491872749 0.793155986 -0.269378115
1731151762.878968666 1.785120094 -0.597515723 -0.114466314 0.234801083 -0.493692754 0.801846685 -0.241200769
1731151763.412835333 1.886289514 -0.680202440 -0.092701448 0.221295459 -0.479790474 0.807574411 -0.262017159
1731151763.913335333 1.974387969 -0.751709156 -0.103310380 0.236344070 -0.487933431 0.798625404 -0.261265977
1731151764.247002000 2.034238359 -0.789103290 -0.149241062 0.248691230 -0.502356347 0.780586469 -0.276542105
1731151764.714135333 2.133844439 -0.809636596 -0.189309550 0.277781197 -0.496386933 0.756361112 -0.323041000
1731151765.147902000 2.262356062 -0.807424024 -0.170301126 0.298632570 -0.463590906 0.746498925 -0.372345826
1731151765.514935333 2.366494245 -0.788118070 -0.187111377 0.313312232 -0.440547289 0.728094229 -0.421464500
1731151765.815235333 2.429945604 -0.810584168 -0.213471336 0.308646734 -0.406699494 0.741690116 -0.435004007
1731151766.315735333 2.481728650 -0.870527757 -0.233766741 0.331503394 -0.446495717 0.732984328 -0.391766576
1731151766.549302000 2.525742972 -0.901097394 -0.231951236 0.337747379 -0.456849249 0.719530359 -0.399363912
1731151766.849602000 2.622714583 -0.914855206 -0.231842073 0.356201493 -0.448798859 0.690569251 -0.441377604
1731151767.49802000 2.699817032 -0.913553395 -0.228906577 0.363737972 -0.422876681 0.680419604 -0.475288504
1731151767.416835333 2.836073218 -0.896065398 -0.200787218 -0.382463532 0.390100589 -0.660257819 0.515366655
1731151768.50802000 2.960617404 -0.877199181 -0.197107358 -0.407757942 0.393525611 -0.640021653 0.518886632
1731151768.317735333 3.022738423 -0.871166204 -0.205772884 -0.417303972 0.382677528 -0.609480549 0.554931315
1731151768.918335333 3.161378933 -0.904122420 -0.230463928 -0.431506858 0.369451958 -0.561553645 0.601634928
1731151769.485568666 3.334864743 -0.944052834 -0.252540596 -0.436802593 0.365742784 -0.562317642 0.599361811
1731151770.119535333 3.497360614 -0.993490289 -0.330735247 -0.444136835 0.369644566 -0.575006957 0.579199762
1731151770.553302000 3.634853019 -1.022510184 -0.346580894 -0.436083950 0.371768268 -0.573022013 0.585888143
1731151770.786868666 3.716982537 -1.027341372 -0.373257945 -0.443189828 0.374792294 -0.562170895 0.589132751
1731151771.187268666 3.905181604 -1.050735608 -0.402165827 -0.441741477 0.367398860 -0.566742065 0.590496382
1731151771.687768666 4.051629643 -1.080099905 -0.422549194 -0.444195054 0.379962558 -0.557975291 0.589052445
1731151772.121535333 4.178652746 -1.105264927 -0.431972967 -0.452346899 0.389912762 -0.551732916 0.582186491
1731151772.655402000 4.357787886 -1.099438556 -0.464055189 -0.447043811 0.373397202 -0.545376515 0.602736109
1731151772.989068666 4.500311215 -1.103828103 -0.471985823 -0.444317728 0.349315779 -0.552006238 0.613065541
1731151773.256002000 4.606283774 -1.105620054 -0.470445173 -0.448758355 0.341101774 -0.551148164 0.615224528
1731151773.723135333 4.772909791 -1.116798824 -0.473911608 -0.462155723 0.335909472 -0.546777452 0.612055008
1731151773.923335333 4.815757281 -1.109801419 -0.485080230 -0.466801822 0.338988260 -0.542564507 0.610579048
1731151774.90168666 4.849264692 -1.111649812 -0.493011969 -0.470280446 0.344516701 -0.537005355 0.609729278
1731151774.257002000 4.892759241 -1.105672284 -0.502547541 -0.471570134 0.350210454 -0.531744947 0.610099629
1731151774.590668666 4.986345507 -1.108105175 -0.528027376 -0.480748029 0.354923393 -0.517989352 0.612043912
1731151774.991068666 5.145442055 -1.091725484 -0.560975807 -0.471788377 0.343511926 -0.519805619 0.623872906
1731151775.491568666 5.358154688 -1.078532310 -0.557185627 -0.437950894 0.330880042 -0.522698283 0.652306613
1731151775.825235333 5.479176263 -1.060857945 -0.540846063 -0.422134530 0.309910293 -0.534156806 0.663652436
