#timestamp tx ty tz qx qy qz qw
1731151710.196992333 -0.12750182236315466 0.008223744888466687 -19.37841983507217 0.19146446841091116 0.8103782848859984 -0.5124831493293424 -0.20973653562227498
1731151710.230359000 -0.13239206452475052 0.010617849302690753 -19.373857766151215 0.19189491523836816 0.8102943788426095 -0.5124546597351417 -0.20973693722725512
1731151710.263725666 -0.13128869122219766 0.010686889978752376 -19.370794460031526 0.19235877520962077 0.8097581254421833 -0.5130021095292392 -0.21004455598459687
1731151710.297092333 -0.13564375863812123 0.015148284150234406 -19.370379721681378 0.1922849422056387 0.8097519728317653 -0.512486412638463 -0.21139044528312495
1731151711.298092333 -0.13000275292393182 0.005558789535034234 -19.364232526649815 0.1959684364940326 0.7494987309030343 -0.5915249308666986 -0.22348664487161893
1731151713.767225666 -0.07257825858649239 -0.016446706451496866 -19.26499476009723 0.1377072397852266 0.7844450677450048 -0.5900217289587862 -0.13250287226227944
1731151715.235359000 -0.08168753381360802 -0.009698854664515033 -19.315978279310016 0.14897157271493544 0.8249142794044012 -0.5109455678961656 -0.19041672406808474
1731151715.535659000 -0.08868098955461388 -0.005318503482353146 -19.321205021707343 0.15345096132405392 0.8317256364046235 -0.49621693462243405 -0.1960969709352059
1731151717.237359000 -0.11787618226069967 -0.0017003869759469464 -19.361451473737414 0.15469415983331855 0.8479791385429971 -0.4560591387840374 -0.2213846413844069
1731151718.572025666 -0.13780306450497287 0.029981597576662383 -19.37164834143425 0.16738393530927584 0.8204766933556891 -0.493408897861081 -0.23526213756575604
1731151719.105892333 -0.16255883279411426 0.021242224287990816 -19.339132408102696 0.1911349968194857 0.7767691854746579 -0.554587023502811 -0.22919484909164983
1731151720.307092333 -0.1321725861353329 -0.04226867138896056 -19.388433453972613 0.3246730632744477 0.7724098167719801 -0.5417437980550865 -0.06696367826749619
1731151720.373825666 -0.12713335165857712 -0.04122978001614661 -19.392438680286247 0.3395318798369759 0.7703472997184361 -0.5373976166800756 -0.04986924881586023
1731151720.674125666 -0.11823953703122461 -0.02951374391213151 -19.41861373999603 0.38790079292143304 0.7574824822439035 -0.5249948885313301 -0.011559885834832492
1731151721.241359000 -0.15088681922334884 -0.044344215049790754 -19.431208974663964 0.28929519975683743 0.8026772847588713 -0.5125437905599111 -0.09652112042581779
